time_s,max_C,max_r_m,g
183900.0,0.15000692860969772,0.0,6.928609697726129e-06
183960.0,0.14997612489737094,0.0,-2.3875102629050682e-05
183930.0,0.14999152383540382,0.0,-8.476164596177282e-06
183915.0,0.1499992254928016,0.0,-7.745071984033292e-07
183907.5,0.15000307686878545,0.0,3.0768687854509924e-06
183911.25,0.15000115113518087,0.0,1.1511351808712877e-06
183913.125,0.1500001883025885,0.0,1.8830258849411585e-07
183914.0625,0.1499997068948444,0.0,-2.9310515559100025e-07
183913.59375,0.14999994759800378,0.0,-5.2401996214479496e-08
183913.359375,0.1500000679501172,0.0,6.795011719962218e-08
183913.4765625,0.15000000777401573,0.0,7.774015736705664e-09
183913.53515625,0.1499999776859986,0.0,-2.2314001396628314e-08
183913.505859375,0.14999999273000436,0.0,-7.269995633274462e-09
183913.4912109375,0.15000000025200927,0.0,2.5200927455948374e-10
183913.49853515625,0.14999999649100706,0.0,-3.5089929295573086e-09
