time_s,time_h,radius_m,max_C,max_r_m,C_center,C_surface,mean_C,loss_cumulative,water_balance,valid_fixed_positions,interval_mean_C,interval_loss,steps,iterations,rejections,min_dt_s,max_dt_s,worst_scaled_residual,damped_iterations
0.0,0.0,0.02,2.55,0.0,2.55,2.55,2.55,0.0,0.0,101,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,0.016666666666666666,0.019949873268608413,2.55,0.0,2.55,2.0794425025151972,2.539405010223264,0.010594989776708258,-2.7533531010703882e-14,100,2.539405010223264,0.010594989776708258,41892.0,125675.0,0.0,6.93381969085749e-06,0.0015755132782564194,1.8182487301978794e-05,0.0
120.0,0.03333333333333333,0.01990016802588997,2.55,0.0,2.55,1.923059774310793,2.529890310284808,0.02010968971511433,-7.72715225139109e-14,100,2.529890310284808,0.009514699938406071,34910.0,104729.0,0.0,0.00033359964920975926,0.0018749884969543817,1.8196428031701063e-05,0.0
180.0,0.05,0.019850896699029126,2.55,0.0,2.55,1.815939039144164,2.5209738266518023,0.02902617334806698,-1.305622276959184e-13,100,2.5209738266518023,0.008916483632952653,29539.0,88617.0,0.0,0.0011917552213560612,0.0022005016930364617,1.812032576566773e-05,0.0
240.0,0.06666666666666667,0.019802071715210357,2.55,0.0,2.55,1.733339110418131,2.5124914630007953,0.03750853699901491,-1.8962609260597674e-13,100,2.5124914630007953,0.008482363650947925,25319.0,75957.0,0.0,0.001927901212013694,0.0025520561114430215,1.8146297800975488e-05,0.0
300.0,0.08333333333333333,0.019753705501618122,2.55,0.0,2.55,1.666309581741826,2.5043513961022974,0.045648603897456536,-2.460254222569347e-13,99,2.5043513961022974,0.008140066898441626,21943.0,65829.0,0.0,0.002552083333333333,0.0029296507623437105,1.8153256820762015e-05,0.0
360.0,0.1,0.019705810485436893,2.55,0.0,2.55,1.6100602069160894,2.49649165649495,0.05350834350474776,-3.019806626980426e-13,99,2.49649165649495,0.007859739607291225,19201.0,57602.0,0.0,0.0002151272482819877,0.0033333086914626273,1.797980624731629e-05,0.0
420.0,0.11666666666666667,0.019658399093851135,2.55,0.0,2.55,1.561619099437131,2.488869523042221,0.06113047695742339,-3.5571545708990016e-13,99,2.488869523042221,0.007622133452675629,16942.0,50825.0,0.0,0.000892189737157878,0.0037629864853232662,1.806938720666583e-05,0.0
480.0,0.13333333333333333,0.019611483754045308,2.55,0.0,2.55,1.519090212486461,2.481452972713165,0.06854702728642939,-4.0545344859310717e-13,99,2.481452972713165,0.007416550329006011,15059.0,45177.0,0.0,0.003715374010710093,0.004218688015368102,1.7935052875601257e-05,0.0
540.0,0.15,0.019565076893203883,2.55,0.0,2.55,1.4814349348900497,2.474217494150229,0.0757825058493161,-4.547473508864641e-13,98,2.474217494150229,0.007235478562886713,13474.0,40422.0,0.0,0.003470264550514912,0.004700453453521814,1.808486547564252e-05,0.0
600.0,0.16666666666666666,0.019519190938511326,2.55,0.0,2.55,1.4478584047524419,2.467141979924674,0.0828580200748301,-4.956035581926699e-13,98,2.467141979924674,0.007075514225513995,12127.0,36381.0,0.0,0.0019118775062452187,0.005208271526667455,1.8014824619856303e-05,0.0
660.0,0.18333333333333332,0.019473838317152103,2.55,0.0,2.55,1.4177402362754064,2.4602087849286645,0.08979121507079713,-5.382361223382759e-13,98,2.4602087849286645,0.006933194995967024,10972.0,32916.0,0.0,0.0027410806919760944,0.005742110179510157,1.7937994441108742e-05,0.0
720.0,0.2,0.019429031456310683,2.55,0.0,2.55,1.390445264090607,2.453402731535264,0.09659726846417017,-5.657696533489798e-13,98,2.453402731535264,0.006806053393373048,9975.0,29924.0,0.0,0.0004568604683754529,0.0063020187955889215,1.7963100539635252e-05,0.0
