time_s,time_h,max_C,max_r_m,C_center,C_surface,mean_C,loss_cumulative,water_balance,interval_mean_C,interval_loss,steps,iterations,rejections,min_dt_s,max_dt_s,worst_scaled_residual,damped_iterations
0.0,0.0,,,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,0.016666666666666666,,,2.55,2.327079972167419,2.538578517716774,0.01142148228316362,-6.217248937900877e-14,2.538578517716774,0.01142148228316362,41921.0,125725.0,0.0,8.57801579385864e-05,0.0015755082310325932,1.8169441715013364e-05,0.0
120.0,0.03333333333333333,,,2.55,2.2420918993595484,2.5277232561031715,0.022276743896657448,-1.709743457922741e-13,2.5277232561031715,0.010855261613493828,34940.0,104776.0,0.0,5.421743762212827e-05,0.001874989487433261,1.825176700960756e-05,0.0
180.0,0.05,,,2.55,2.1798342578558185,2.517216355129107,0.03278364487061005,-2.828848266744899e-13,2.517216355129107,0.0105069009739526,29569.0,88664.0,0.0,4.9540724518237766e-05,0.002200508137763446,1.8175529079512706e-05,0.0
240.0,0.06666666666666667,,,2.55,2.1292835836493627,2.506980096890279,0.043019903109336725,-3.8413716652030416e-13,2.506980096890279,0.010236258238726677,25345.0,76007.0,0.0,7.440249788714937e-06,0.002552063097002612,1.823394956743824e-05,0.0
300.0,0.08333333333333333,,,2.55,2.0863538720232464,2.4969693675728992,0.05303063242661551,-4.849454171562684e-13,2.4969693675728992,0.010010729317278784,21975.0,65884.0,0.0,1.4369627137966745e-05,0.002929654806017665,1.818593248314315e-05,0.0
360.0,0.1,,,2.55,2.04887299036143,2.4871528283651743,0.0628471716342579,-5.6754601018838e-13,2.4871528283651743,0.009816539207642399,19229.0,57650.0,0.0,3.244074537178676e-05,0.00333330292003437,1.8018213863169215e-05,0.0
420.0,0.11666666666666667,,,2.55,2.015460648217668,2.4775081454317798,0.07249185456757783,-6.421529974431905e-13,2.4775081454317798,0.009644682933319925,16972.0,50880.0,0.0,6.6165884504698624e-06,0.003762992909583052,1.8099250716001322e-05,0.0
480.0,0.13333333333333333,,,2.55,1.9852237452459767,2.4680180887310623,0.08198191126823404,-7.034373084024992e-13,2.4680180887310623,0.009490056700656203,15086.0,45225.0,0.0,6.19058615711765e-05,0.004218708549747745,1.814805536678924e-05,0.0
540.0,0.15,,,2.55,1.9576405425202592,2.458669081071398,0.09133091892785325,-7.487344078072056e-13,2.458669081071398,0.009349007659619213,13504.0,40480.0,0.0,3.0282207035270403e-06,0.004700446020448583,1.8077048599472814e-05,0.0
600.0,0.16666666666666666,,,2.55,1.932332229662848,2.4494492879026804,0.10055071209653117,-7.882583474838611e-13,2.4494492879026804,0.009219793168677923,12159.0,36444.0,0.0,1.4575945442629745e-05,0.005208280845209883,1.804232987757606e-05,0.0
660.0,0.18333333333333332,,,2.5499999999993457,1.908991497346391,2.4403483077253543,0.10965169227382142,-8.242295734817162e-13,2.4403483077253543,0.00910098017729025,11520.0,34560.0,0.0,0.005208333326095271,0.005208333333333333,1.788299711586783e-05,0.0
