time_s,max_C,max_r_m,g
206880.0,0.1500059569440393,0.0,5.956944039292589e-06
206940.0,0.1499884812363333,0.0,-1.1518763666701348e-05
206910.0,0.14999721788057357,0.0,-2.7821194264199267e-06
206895.0,0.15000158710983433,0.0,1.5871098343334111e-06
206902.5,0.14999940241959447,0.0,-5.975804055202705e-07
206898.75,0.1500004947458109,0.0,4.94745810902808e-07
206900.625,0.149999948577977,0.0,-5.142202300079113e-08
206899.6875,0.1500002216607125,0.0,2.2166071250717678e-07
206900.15625,0.1500000851190494,0.0,8.511904939223491e-08
206900.390625,0.150000016848439,0.0,1.6848439005068272e-08
206900.5078125,0.14999998271318943,0.0,-1.7286810566341515e-08
206900.44921875,0.14999999978080958,0.0,-2.1919041581774934e-10
206900.419921875,0.15000000831462315,0.0,8.314623156646661e-09
206900.4345703125,0.1500000040477163,0.0,4.047716301025517e-09
206900.44189453125,0.15000000191426294,0.0,1.9142629426038837e-09
