方案,dt倍率1终点_h,dt倍率0.5终点_h,dt倍率0.25终点_h,dt倍率0.125终点_h,末两级时间加密差_h
Q3 本文口径,57.526733691892076,57.50066549831857,57.487626695834436,57.48110604172873,-0.006520654105706569
Q3 附件末值延续,57.223766964452416,57.19772222102014,57.184694991007255,57.17818012518152,-0.006514865825735683
Q3 平均含水率判据,36.07171091834845,36.0495542817662,36.03847189961685,36.03292942904584,-0.005542470571008096
Q4 本文口径,51.12689109029043,51.106703954344454,51.09660845127266,51.091560146037004,-0.005048305235654027
Q4 固定半径,129.89286065911068,129.8682424175006,129.85593108526265,129.84977481551212,-0.006156269750533738
Q4 附件末值延续,50.86051489944432,50.840339681479115,50.83025019045106,50.82520485039882,-0.005045340052241443
Q4 平均含水率判据,35.001336841339594,34.984998808878224,34.97682760775903,34.97274144590319,-0.0040861618558381
Q4 半径线性插值,51.13038557151246,51.110203103341384,51.1001089586041,51.09506128902303,-0.005047669581074388
