time_s,mean_C,loss_per_initial_dry_mass,steps,iterations,rejections,min_dt,max_dt,max_scaled_residual,damped_iterations,water_balance_residual
1.000000000000000000e+00,2.549799296647255797e+00,2.007033527436378399e-04,7.670000000000000000e+02,2.301000000000000000e+03,0.000000000000000000e+00,9.455820322605834605e-04,1.306417437433842876e-03,1.771492799288468812e-05,0.000000000000000000e+00,-4.440892098500626162e-16
2.000000000000000000e+00,2.549600010971224240e+00,1.992856760269160333e-04,7.650000000000000000e+02,2.295000000000000000e+03,0.000000000000000000e+00,2.314077469209863125e-04,1.310771640691535053e-03,1.771403270231531604e-05,0.000000000000000000e+00,-4.884981308350688778e-15
3.000000000000000000e+00,2.549401642218934505e+00,1.983687522923423892e-04,7.620000000000000000e+02,2.286000000000000000e+03,0.000000000000000000e+00,8.442663736127897778e-04,1.315127299536650394e-03,1.817423568663750628e-05,0.000000000000000000e+00,-2.220446049250313081e-15
4.000000000000000000e+00,2.549204011612158371e+00,1.976306067813565954e-04,7.600000000000000000e+02,2.279000000000000000e+03,0.000000000000000000e+00,1.583038754802146286e-04,1.319495858000961684e-03,1.768260056278359360e-05,0.000000000000000000e+00,2.664535259100375697e-15
5.000000000000000000e+00,2.549007015831550760e+00,1.969957806039129096e-04,7.570000000000000000e+02,2.271000000000000000e+03,0.000000000000000000e+00,8.082069472932218446e-04,1.323865813789441891e-03,1.792712664878684189e-05,0.000000000000000000e+00,-8.881784197001252323e-16
6.000000000000000000e+00,2.548810585171260357e+00,1.964306602894700337e-04,7.550000000000000000e+02,2.264000000000000000e+03,0.000000000000000000e+00,1.506587592938757325e-04,1.328248725283260288e-03,1.768653752123675591e-05,0.000000000000000000e+00,-1.776356839400250465e-15
7.000000000000000000e+00,2.548614668463024202e+00,1.959167082359363410e-04,7.520000000000000000e+02,2.256000000000000000e+03,0.000000000000000000e+00,8.378374397306487253e-04,1.332632975454379424e-03,1.729265511238880872e-05,0.000000000000000000e+00,-2.220446049250313081e-15
8.000000000000000000e+00,2.548419226065600451e+00,1.954423974246845687e-04,7.500000000000000000e+02,2.249000000000000000e+03,0.000000000000000000e+00,2.089060681651488949e-04,1.337030237788779672e-03,1.751728487002996161e-05,0.000000000000000000e+00,-1.332267629550187849e-15
9.000000000000000000e+00,2.548224226089205402e+00,1.949999763923923742e-04,7.470000000000000000e+02,2.241000000000000000e+03,0.000000000000000000e+00,9.335914993258143113e-04,1.341428779768792483e-03,1.801940578156554644e-05,0.000000000000000000e+00,-3.552713678800500929e-15
1.000000000000000000e+01,2.548029642155363206e+00,1.945839338431104148e-04,7.450000000000000000e+02,2.234000000000000000e+03,0.000000000000000000e+00,3.334794337206403725e-04,1.345840390743034774e-03,1.711313148383150309e-05,0.000000000000000000e+00,-2.664535259100375697e-15
